iter	Logloss
0	0.5404897226
1	0.4189670831
2	0.3300559099
3	0.2681172686
4	0.2173912052
5	0.1834631662
6	0.158715296
7	0.143526161
8	0.1304914365
9	0.1201330646
10	0.1128917847
11	0.1074145339
12	0.1029835596
13	0.09853515094
14	0.09483593484
15	0.09171242134
16	0.08791236109
17	0.08595707951
18	0.08255529753
19	0.08142601114
20	0.07930236749
21	0.07797780449
22	0.07653865242
23	0.07463497857
24	0.07315322142
25	0.07231749078
26	0.07141603537
27	0.07103817997
28	0.06984116385
29	0.06907778303
30	0.06835412253
31	0.06797552751
32	0.06694848017
33	0.06598356688
34	0.06448954656
35	0.06346600967
36	0.06262125431
37	0.06190051181
38	0.06143564221
39	0.06050629595
40	0.06026879893
41	0.05948057217
42	0.05899246392
43	0.05772424631
44	0.05733850138
45	0.05684835761
46	0.05608540698
47	0.05557235366
48	0.05495226736
49	0.05435854659
50	0.05333860978
51	0.05290627864
52	0.05251046777
53	0.05199156031
54	0.05159034184
55	0.0510596866
56	0.05064892594
57	0.04974981548
58	0.04879108432
59	0.04817212162
60	0.04799796784
61	0.04742415625
62	0.04668029671
63	0.046111602
64	0.04557445856
65	0.04504247543
66	0.04471319277
67	0.04430563663
68	0.0438814906
69	0.04368769197
70	0.0427772226
71	0.04247805426
72	0.04162245118
73	0.0412145112
74	0.04075318877
75	0.04031203104
76	0.04000393028
77	0.03960343119
78	0.03941751944
79	0.03892549889
80	0.03813929202
81	0.03774488583
82	0.03754863781
83	0.03732983686
84	0.03679036913
85	0.03658779222
86	0.03576335558
87	0.03559509811
88	0.03532340481
89	0.03489395773
90	0.03432669674
91	0.03404013465
92	0.0339706097
93	0.03342363531
94	0.0330553214
95	0.03298855973
96	0.03266770487
97	0.03257298365
98	0.03243855816
99	0.03219333512
100	0.03162989093
101	0.03077317708
102	0.0304729329
103	0.0303600268
104	0.02992308171
105	0.02978475523
106	0.02931246541
107	0.02905455292
108	0.02871708193
109	0.02828247495
110	0.02821781876
111	0.02803389743
112	0.02756510409
113	0.02736723036
114	0.02702782646
115	0.02639441665
116	0.02618716018
117	0.02607903083
118	0.02601427522
119	0.02590784629
120	0.0255578157
121	0.02509681931
122	0.02494355784
123	0.02444141829
124	0.02442116074
125	0.02432090709
126	0.02424894252
127	0.02400333857
128	0.02395846086
129	0.02372699657
130	0.02341068081
131	0.02336491352
132	0.02315878694
133	0.02307598189
134	0.02272881149
135	0.02231011803
136	0.02213532181
137	0.02181371895
138	0.02179412604
139	0.02166246621
140	0.02152110501
141	0.02128546325
142	0.0211747869
143	0.02095617236
144	0.02068923892
145	0.0206677314
146	0.02025464213
147	0.01994057567
148	0.01992001792
149	0.01972614375
150	0.01955718408
151	0.01948756152
152	0.01945356701
153	0.01902905963
154	0.0189893696
155	0.01886748653
156	0.01877062324
157	0.01873826659
158	0.01851986889
159	0.01850879217
160	0.0183648573
161	0.01824971265
162	0.01817493983
163	0.0180173085
164	0.01789583497
165	0.0178049505
166	0.01772605553
167	0.01761527194
168	0.01746692057
169	0.0173030958
170	0.01715782188
171	0.01704565442
172	0.01697332988
173	0.01686342262
174	0.01678846256
175	0.01665672299
176	0.01656126564
177	0.01645101098
178	0.01642811092
179	0.01630560608
180	0.01617570265
181	0.01594489015
182	0.01589685778
183	0.01581349617
184	0.01542816679
185	0.01536125795
186	0.01509986755
187	0.0149713466
188	0.01483150276
189	0.01480323197
190	0.01475848579
191	0.01475831042
192	0.01469854659
193	0.01459116314
194	0.01446526459
195	0.0144398875
196	0.01434092459
197	0.0143052844
198	0.01424312703
199	0.01424310818
